url	city	state	add	sightings	lat	lon
http://www.ghostsofamerica.com/4/Kentucky_Lowmansville_ghost_sightings.html	LOWMANSVILLE	KY	LOWMANSVILLE, KY	2	37.917315	-82.731825
http://www.ghostsofamerica.com/4/Kentucky_Loyall_ghost_sightings.html	LOYALL	KY	LOYALL, KY	1	36.852033	-83.354072
http://www.ghostsofamerica.com/4/Kentucky_Madisonville_ghost_sightings.html	MADISONVILLE	KY	MADISONVILLE, KY	2	37.328101	-87.498888
http://www.ghostsofamerica.com/4/Kentucky_Manchester_ghost_sightings.html	MANCHESTER	KY	MANCHESTER, KY	1	37.153701	-83.761864
http://www.ghostsofamerica.com/4/Kentucky_Marion_ghost_sightings.html	MARION	KY	MARION, KY	2	37.332829	-88.081135
http://www.ghostsofamerica.com/4/Kentucky_Martin_ghost_sightings.html	MARTIN	KY	MARTIN, KY	1	37.572876	-82.752659
http://www.ghostsofamerica.com/4/Kentucky_Mayfield_ghost_sightings.html	MAYFIELD	KY	MAYFIELD, KY	4	36.741724	-88.636715
http://www.ghostsofamerica.com/4/Kentucky_Mayking_ghost_sightings.html	MAYKING	KY	MAYKING, KY	2	37.135	-82.776111
http://www.ghostsofamerica.com/4/Kentucky_Maysville_ghost_sightings.html	MAYSVILLE	KY	MAYSVILLE, KY	1	38.641185	-83.744365
http://www.ghostsofamerica.com/4/Kentucky_Melvin_ghost_sightings.html	MELVIN	KY	MELVIN, KY	1	37.35038	-82.694046
http://www.ghostsofamerica.com/4/Kentucky_Middlesboro_ghost_sightings0.html	MIDDLESBORO	KY	MIDDLESBORO, KY	12	36.607257	-83.714285
http://www.ghostsofamerica.com/4/Kentucky_Midway_ghost_sightings.html	MIDWAY	KY	MIDWAY, KY	1	38.150908	-84.683834
http://www.ghostsofamerica.com/4/Kentucky_Millstone_ghost_sightings.html	MILLSTONE	KY	MILLSTONE, KY	1	37.163333	-82.749722
http://www.ghostsofamerica.com/4/Kentucky_Monticello_ghost_sightings.html	MONTICELLO	KY	MONTICELLO, KY	3	36.829794	-84.849113
http://www.ghostsofamerica.com/4/Kentucky_Morehead_ghost_sightings.html	MOREHEAD	KY	MOREHEAD, KY	1	38.183971	-83.432684
http://www.ghostsofamerica.com/4/Kentucky_Morganfield_ghost_sightings.html	MORGANFIELD	KY	MORGANFIELD, KY	2	37.683378	-87.916692
http://www.ghostsofamerica.com/4/Kentucky_Mortons_Gap_ghost_sightings.html	MORTONS GAP	KY	MORTONS GAP, KY	1	37.236712	-87.475276
