city,state,add,city_count,lat,long,the_geom,cartodb_id,created_at,updated_at
Shepherdsville,KY,"Shepherdsville, KY",1,37.986439,-85.708519,0101000020E61000000E661360586D55C0DD3F16A243FE4240,123,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Somerset,KY,"Somerset, KY",2,37.081723,-84.615429,0101000020E6100000A4005130632755C05E2A36E6758A4240,124,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
South Shore,KY,"South Shore, KY",1,38.720632,-82.956858,0101000020E61000009F3A56293DBD54C0BD395CAB3D5C4340,125,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
South Williamson,KY,"South Williamson, KY",1,37.672726,-82.279147,0101000020E6100000B2F1608BDD9154C09E95B4E21BD64240,126,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Stanford,KY,"Stanford, KY",1,37.475817,-84.794274,0101000020E61000000A849D62D53255C0BFF04A92E7BC4240,128,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Stanton,KY,"Stanton, KY",1,37.846776,-83.861434,0101000020E6100000666A12BC21F754C0D384ED2763EC4240,129,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Sturgis,KY,"Sturgis, KY",1,37.546283,-87.98232,0101000020E61000003B8DB454DEFE55C02EAEF199ECC54240,130,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Taylorsville,KY,"Taylorsville, KY",1,38.02112,-85.290098,0101000020E6100000A4A833F7905255C051A5660FB4024340,131,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Tompkinsville,KY,"Tompkinsville, KY",1,36.844947,-85.668993,0101000020E6100000301004C8D06A55C039ED2939276C4240,132,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Union,KY,"Union, KY",1,37.541274,-87.983655,0101000020E610000000E31934F4FE55C06A16687748C54240,133,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Versailles,KY,"Versailles, KY",1,38.046698,-84.65298,0101000020E61000004B3CA06CCA2955C0F1643733FA054340,134,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Vine Grove,KY,"Vine Grove, KY",1,37.806768,-85.986294,0101000020E61000006D8FDE701F7F55C0CBBA7F2C44E74240,135,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Walton,KY,"Walton, KY",1,38.91607,-84.635008,0101000020E6100000B22C98F8A32855C0616C21C841754340,136,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Whitesburg,KY,"Whitesburg, KY",1,37.222322,-82.874604,0101000020E6100000DA3C0E83F9B754C035971B0C759C4240,137,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Williamsburg,KY,"Williamsburg, KY",1,36.74634,-84.161793,0101000020E610000031EE06D15A0A55C02BD9B111885F4240,138,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Wilmore,KY,"Wilmore, KY",1,37.856631,-84.65457,0101000020E610000056BC9179E42955C0B1DEA815A6ED4240,139,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Winchester,KY,"Winchester, KY",1,37.991789,-84.177555,0101000020E6100000718FA50F5D0B55C02AC423F1F2FE4240,140,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Paris,KY,"Paris, KY",1,39.599216,-87.694742,0101000020E6100000000000805A1055C0C697092EC21A4340,106,2014-10-14 03:42:22.993991+00,2014-10-14 03:43:42.340863+00
Springfield,KY,"Springfield, KY",1,38.987344,-87.211073,0101000020E6100000000000E0344E55C017C5D6D7BCD74240,127,2014-10-14 03:42:22.993991+00,2014-10-14 03:44:21.642537+00
Georgetown,KY,"Georgetown, KY",1,38.987344,-87.211073,0101000020E610000000000040D22355C0398CF5B2DC1A4340,46,2014-10-14 03:42:22.993991+00,2014-10-14 03:44:44.002255+00
